paymentGoodputSent:vector PCN.node9 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node7 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node4 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node8 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node5 (#0 - General-0-20250701-23:18:59-182200),
1960,0.958333333333329925,2819,0.875,2716,0.9375,2571,0.895833333333329925,,
1960,0.959183673469389926,2819,0.877551020408160017,2776,0.938775510204080005,2592,0.897959183673469937,,
2021,0.95999999999999996,2819,0.87999999999999989,2776,0.939999999999999941,2639,0.899999999999999907,,
2095,0.960784313725489887,2892,0.882352941176469891,2888.5,0.941176470588239941,2671,0.901960784313729831,,
2095,0.961538461538459895,2892,0.884615384615379913,2888.5,0.942307692307689844,2720,0.903846153846149964,,
2095,0.962264150943400005,2952,0.886792452830190032,2957.5,0.943396226415089907,2771,0.905660377358489914,,
2176,0.962962962962959906,2952,0.888888888888889945,3002,0.944444444444439975,2771,0.907407407407409878,,
2176,0.963636363636359845,3015,0.890909090909089978,3019,0.945454545454549984,2771,0.909090909090909833,,
2179,0.964285714285709968,3083,0.892857142857139903,3092,0.946428571428569838,2771,0.910714285714290023,,
2179,0.964912280701749831,3083,0.894736842105259939,3092,0.947368421052629856,2852,0.912280701754389907,,
2182,0.948275862068969961,3142,0.896551724137929935,3202,0.948275862068969961,2935.5,0.913793103448280015,,
2199,0.949152542372879931,3215,0.89830508474575987,3283,0.949152542372879931,3056,0.915254237288140033,,
2199,0.94999999999999995,3215,0.899999999999999907,3283,0.94999999999999995,3056,0.916666666666669845,,
2199,0.950819672131149926,3215,0.901639344262299853,3306,0.950819672131149926,3072,0.918032786885250026,,
2199,0.951612903225810043,3272,0.903225806451609875,3343,0.951612903225810043,3096,0.919354838709679929,,
2199,0.952380952380949881,3272,0.904761904761899988,3374.5,0.952380952380949881,3139,0.904761904761899988,,
2221,0.953125,3300,0.90625,3374.5,0.953125,3227,0.90625,,
2252,0.953846153846150009,3300,0.907692307692310013,3402,0.953846153846150009,3354.5,0.892307692307690023,,
2281,0.939393939393939888,3300,0.909090909090909833,3496,0.954545454545449917,3456.5,0.878787878787880001,,
2443,0.940298507462689941,3320,0.910447761194030033,3538,0.955223880597009906,3502,0.880597014925369898,,
2443,0.941176470588239941,3377,0.911764705882349919,3598,0.955882352941179953,3502,0.882352941176469891,,
2443,0.94202898550724989,3377,0.913043478260869841,3598,0.956521739130429922,3502,0.869565217391299991,,
2443,0.942857142857139946,3377,0.914285714285709923,3598,0.957142857142859955,3509.5,0.871428571428569882,,
2443,0.943661971830989985,3377,0.91549295774647987,3683,0.957746478873239933,3612.5,0.873239436619720029,,
2443,0.944444444444439975,3410,0.916666666666669845,3683,0.958333333333329925,3612.5,0.875,,
2453,0.945205479452049907,3472,0.91780821917807986,3683,0.958904109589040039,3658,0.863013698630139988,,
2530,0.945945945945950048,3472,0.918918918918919965,3726,0.959459459459459869,3658,0.864864864864860023,,
2530,0.946666666666669872,3472,0.919999999999999923,3726,0.95999999999999996,3702.5,0.866666666666670023,,
2551,0.947368421052629856,3500,0.921052631578950005,3794,0.960526315789469894,3702.5,0.868421052631579866,,
2551,0.948051948051950028,3500,0.922077922077920048,3802,0.961038961038960021,3781.5,0.870129870129869861,,
2557,0.948717948717950005,3500,0.923076923076920016,3844,0.961538461538459895,3806,0.871794871794870026,,
2570,0.94936708860759,3531,0.924050632911389998,3926,0.962025316455699993,3806,0.873417721518989993,,
2682,0.94999999999999995,3542,0.92500000000000004,3938,0.962499999999999907,3806,0.875,,
2682,0.950617283950619946,3542,0.925925925925930035,3994,0.962962962962959906,3841,0.876543209876539992,,
2682,0.951219512195119904,3600,0.92682926829267997,4004,0.963414634146339873,3873,0.865853658536589905,,
2682,0.951807228915660048,3672,0.927710843373489965,4065,0.963855421686749865,3902.5,0.867469879518069971,,
2808,0.952380952380949881,3672,0.928571428571429931,4073,0.964285714285709968,3902.5,0.869047619047619953,,
2808,0.952941176470589953,3742,0.929411764705879935,4073,0.964705882352939965,3936,0.870588235294119879,,
2819,0.953488372093019837,3742,0.930232558139529871,4094,0.965116279069770041,4010,0.872093023255809948,,
2881,0.954022988505749841,3807,0.931034482758619882,4112,0.965517241379310048,4010,0.873563218390799975,,
2881,0.954545454545449917,3807,0.931818181818179876,4148,0.965909090909089935,4010,0.863636363636359976,,
2899,0.955056179775279896,3928,0.932584269662919848,4265,0.966292134831459922,4040,0.853932584269659897,,
2930,0.955555555555559928,3952,0.933333333333330013,4312,0.96666666666666989,4060,0.844444444444439887,,
2996,0.95604395604395997,4004,0.934065934065929856,4340,0.967032967032970031,4091,0.835164835164839965,,
3081,0.956521739130429922,4072,0.93478260869564988,4340,0.967391304347829934,4091,0.836956521739129929,,
